url_count,ip_url_count,suspicious_tld_count,long_url_count,urgent_count,credential_count,threat_count,reply_to_mismatch,attachment_count,suspicious_attachment_count,text_length,exclamation_count,label
7,2,2,4,6,1,4,0,3,3,4655,1,1
1,1,1,0,2,5,4,0,3,1,3052,10,1
6,1,0,5,3,2,2,1,3,2,3573,2,1
8,2,1,1,1,2,0,1,3,0,640,4,1
2,0,0,2,2,5,3,0,1,1,4912,8,1
3,0,2,2,4,2,5,0,1,0,485,6,1
5,2,1,5,7,6,4,0,1,0,1398,2,1
8,1,2,0,5,5,3,0,2,2,2635,7,1
1,1,0,0,6,2,0,0,1,1,1927,4,1
3,3,2,1,7,6,3,1,3,3,1230,7,1
4,0,0,4,1,4,0,1,3,0,3927,1,1
1,0,1,1,2,5,5,1,1,0,1725,5,1
7,3,1,4,4,2,3,0,2,2,3177,4,1
1,0,0,0,5,1,5,1,2,1,816,1,1
2,2,2,1,1,2,2,1,1,1,1639,4,1
2,0,2,1,8,3,3,1,1,1,2705,1,1
7,0,0,1,1,6,3,0,1,1,2289,6,1
7,3,1,0,3,6,1,1,0,0,2920,5,1
5,1,3,3,5,4,1,0,0,0,4247,9,1
2,0,2,0,3,1,0,1,2,1,4103,2,1
8,0,3,1,5,6,1,0,1,0,3649,7,1
4,1,0,2,1,2,0,1,3,3,2180,7,1
6,0,0,6,3,5,0,0,0,0,3918,2,1
8,2,1,6,8,3,3,1,0,0,1468,3,1
2,1,1,0,8,6,5,1,0,0,3651,2,1
1,1,0,0,7,2,3,0,3,2,1204,4,1
7,3,2,3,3,2,1,0,3,0,3681,8,1
2,1,2,0,3,5,0,0,3,1,3287,8,1
3,1,1,2,4,5,5,0,1,0,2181,6,1
8,2,1,5,4,4,1,1,1,0,3027,4,1
6,2,0,6,8,1,5,1,3,2,3868,9,1
7,2,1,3,3,1,2,1,3,1,4824,9,1
8,2,0,4,8,2,2,0,1,1,2955,6,1
4,0,1,1,1,2,1,1,1,0,2854,7,1
1,1,0,0,3,1,2,0,3,3,4569,3,1
6,1,0,1,6,2,4,0,2,2,2459,10,1
1,0,0,0,3,1,0,0,3,3,4616,10,1
1,1,0,1,5,1,0,0,1,0,4277,2,1
1,0,0,1,6,4,3,1,3,2,2952,2,1
1,0,1,0,8,2,2,0,1,0,897,1,1
1,1,1,0,4,6,2,1,3,0,3030,4,1
4,3,1,3,8,1,1,0,1,1,2290,2,1
6,0,1,2,6,2,3,1,3,3,387,0,1
1,0,0,1,8,1,4,1,3,1,3172,6,1
2,0,0,1,2,3,5,1,0,0,3501,5,1
4,1,2,2,6,1,0,0,2,1,2368,3,1
2,1,2,0,6,2,5,1,0,0,4895,6,1
8,1,3,4,3,4,3,1,0,0,1714,2,1
2,1,0,0,8,1,2,0,1,0,1520,8,1
8,1,2,4,6,5,2,0,0,0,937,9,1
5,1,1,3,8,5,3,0,3,0,3519,10,1
2,2,0,1,2,1,3,1,1,1,4705,8,1
2,1,2,1,5,6,2,0,1,1,4781,5,1
6,0,2,5,5,3,0,0,2,2,3065,4,1
6,0,3,5,2,4,4,1,2,0,1417,5,1
6,0,1,3,6,2,3,1,3,0,2847,2,1
2,0,1,0,1,4,4,0,2,1,1801,10,1
8,2,3,6,1,4,2,1,0,0,2845,8,1
7,1,3,7,1,5,0,1,1,1,2641,1,1
8,0,1,1,5,2,0,0,2,0,418,5,1
7,1,2,7,2,6,3,1,1,1,1153,10,1
7,2,0,6,6,6,3,0,2,1,3307,8,1
8,3,2,4,6,1,2,1,2,2,3636,4,1
8,1,2,0,4,6,1,1,1,1,1164,3,1
6,2,0,1,8,6,0,0,2,2,1649,6,1
6,1,0,4,3,6,5,0,2,1,4134,1,1
8,3,0,6,5,4,5,1,2,1,2505,10,1
8,0,3,3,5,6,2,0,3,0,631,9,1
8,3,3,4,2,5,1,1,3,0,2727,3,1
5,2,2,5,5,3,0,0,1,1,2115,4,1
7,0,2,2,6,1,5,0,1,1,3861,9,1
6,1,2,5,3,3,5,1,2,2,1241,1,1
8,0,1,5,3,6,5,0,0,0,589,9,1
5,3,1,3,5,2,2,1,1,1,4406,3,1
6,1,2,4,1,4,2,1,0,0,2053,9,1
6,2,2,1,6,5,4,0,3,3,2263,4,1
3,1,1,0,6,4,2,1,0,0,1540,8,1
6,0,0,2,4,5,2,0,1,0,1691,6,1
7,2,0,2,2,6,1,1,2,1,2733,7,1
2,0,0,2,2,6,1,1,3,2,4588,9,1
4,0,3,4,3,5,5,1,0,0,4192,10,1
2,1,0,0,2,4,2,1,1,1,4258,0,1
7,3,3,4,5,6,4,1,3,3,3714,3,1
5,1,0,0,7,6,2,0,2,2,3822,9,1
7,0,0,5,7,1,3,1,0,0,4623,4,1
2,2,2,2,5,1,5,0,3,0,3532,9,1
1,0,0,1,4,1,4,0,2,2,679,1,1
8,1,3,5,5,6,3,0,1,1,3502,3,1
8,1,1,3,1,1,5,1,2,0,1860,3,1
4,3,0,0,1,4,5,0,3,2,2655,2,1
2,1,2,2,5,2,1,0,3,2,3354,2,1
3,0,3,2,3,6,1,0,2,2,4158,7,1
1,1,1,0,1,2,2,0,1,1,1422,6,1
7,3,1,1,8,3,2,0,1,1,1099,7,1
1,1,1,1,4,5,4,1,3,2,4487,7,1
7,3,2,3,2,4,2,1,2,1,1025,6,1
7,0,2,4,4,5,1,1,1,1,4783,6,1
4,3,0,2,8,6,1,1,3,0,1341,8,1
7,0,1,2,4,3,0,0,1,1,1204,1,1
7,0,1,0,2,6,5,1,2,0,1824,10,1
7,3,3,5,1,1,4,0,0,0,1394,3,1
2,0,2,0,4,6,4,1,3,2,4458,3,1
2,1,2,0,1,3,4,0,0,0,757,9,1
8,0,2,5,7,1,1,1,3,0,4080,2,1
2,1,2,1,1,6,5,1,1,1,4516,1,1
1,0,1,1,7,3,1,1,2,1,3190,10,1
1,0,0,1,7,3,2,1,0,0,3968,0,1
2,1,0,2,8,5,4,0,1,1,839,5,1
6,3,0,4,3,3,2,0,3,3,3024,2,1
4,3,2,4,3,6,4,0,0,0,1324,7,1
4,2,0,1,6,1,4,0,1,1,2774,1,1
1,0,1,1,8,2,1,1,0,0,2603,6,1
5,3,2,5,4,3,4,1,1,1,2257,9,1
3,2,0,1,8,3,5,1,2,2,4493,0,1
3,2,3,1,7,2,4,1,3,2,1035,9,1
5,3,3,2,5,2,5,1,1,1,4840,2,1
1,1,1,1,5,2,0,1,0,0,480,10,1
4,1,3,2,3,5,5,0,2,2,2265,0,1
4,2,0,3,2,4,1,0,1,1,2592,0,1
3,2,0,1,5,1,1,1,2,2,4495,0,1
6,0,2,3,2,5,1,0,2,2,770,0,1
6,2,0,2,1,3,4,0,1,1,3126,9,1
8,3,2,1,7,3,2,0,1,0,2949,2,1
6,1,3,6,1,1,3,0,3,0,1108,8,1
1,0,0,0,3,6,1,1,2,0,1413,1,1
3,3,0,2,2,3,4,1,2,2,1790,10,1
8,2,3,7,4,5,0,0,1,0,4820,10,1
2,1,2,2,7,2,4,1,1,1,4351,10,1
6,1,0,0,2,4,4,0,0,0,2109,8,1
1,1,1,1,2,1,1,0,2,1,4858,8,1
7,2,0,5,3,4,1,1,2,1,4058,5,1
7,0,1,5,7,4,2,0,3,3,4665,1,1
1,0,0,1,1,6,0,0,3,0,1415,5,1
3,2,2,1,8,5,1,1,0,0,1508,2,1
3,1,0,0,2,6,5,0,1,0,3854,3,1
1,1,0,1,3,1,1,1,1,1,2689,8,1
3,3,3,2,1,2,2,1,2,0,1113,10,1
8,3,2,2,3,6,4,1,1,1,2164,8,1
8,2,1,0,6,5,3,0,1,1,3770,1,1
5,0,3,4,6,4,2,1,0,0,3635,9,1
8,3,0,4,4,4,3,1,3,2,4575,0,1
7,2,2,3,1,4,4,0,2,0,2461,7,1
1,0,1,1,5,6,2,1,2,0,610,3,1
1,0,0,0,3,2,4,1,3,3,486,7,1
8,3,0,2,3,5,4,1,3,0,1656,5,1
7,0,2,0,7,4,2,0,2,2,1284,6,1
3,1,3,3,7,1,2,0,1,0,4029,8,1
2,2,2,0,8,3,2,1,2,1,2746,1,1
1,0,0,1,4,4,3,1,2,0,3228,3,1
7,3,3,1,4,3,3,0,1,0,1698,9,1
5,2,0,1,6,1,4,0,2,1,4701,2,1
1,1,1,1,6,1,4,0,2,1,4547,10,1
2,1,0,2,1,2,2,0,3,0,3309,8,1
3,3,0,2,2,3,4,0,2,0,3392,3,1
1,1,1,1,8,4,3,1,2,1,3485,10,1
6,3,0,2,5,3,1,0,3,0,3468,5,1
5,3,3,0,6,3,0,1,1,0,654,3,1
1,0,0,0,2,4,5,0,0,0,1360,9,1
8,2,3,6,6,6,0,1,3,2,4485,8,1
8,1,0,3,3,5,5,0,0,0,492,8,1
8,2,3,4,8,2,4,1,1,1,454,4,1
6,0,1,6,2,6,0,0,2,2,2378,7,1
8,2,1,5,4,6,0,1,0,0,4785,8,1
6,2,3,6,2,4,2,0,0,0,1719,4,1
5,1,1,0,5,6,1,1,0,0,1760,9,1
2,0,0,0,7,6,4,0,0,0,2858,8,1
7,1,1,3,3,6,2,0,3,3,450,8,1
6,2,1,3,4,6,3,1,1,0,945,5,1
7,3,3,6,3,3,1,1,3,1,2940,7,1
1,1,0,1,2,2,2,1,0,0,2759,2,1
4,0,2,2,2,3,5,1,0,0,3147,5,1
4,1,2,2,4,5,3,1,3,3,4044,1,1
6,0,1,6,4,5,0,1,1,1,4318,7,1
1,1,1,0,6,6,2,0,0,0,4210,3,1
3,2,0,2,3,5,0,0,1,0,3559,6,1
5,2,1,0,5,6,2,0,0,0,2125,0,1
2,0,1,0,1,5,0,0,2,1,2456,3,1
3,0,1,3,7,2,3,1,0,0,1576,6,1
4,2,0,3,6,4,1,0,1,0,2527,1,1
2,1,1,1,4,3,2,1,2,2,1296,2,1
7,3,1,1,1,5,5,0,0,0,1620,8,1
8,1,3,2,8,1,1,1,0,0,1026,2,1
5,0,1,0,4,3,1,1,2,1,4513,7,1
6,2,2,2,4,2,5,0,3,2,2554,0,1
7,2,3,0,7,2,2,1,2,2,4369,9,1
4,3,0,0,2,3,4,1,1,0,3196,9,1
5,3,1,0,8,6,1,1,1,0,4906,6,1
3,0,0,0,1,2,4,1,3,3,709,9,1
2,1,2,2,1,3,4,1,0,0,4380,2,1
8,0,1,7,4,2,4,0,1,0,1398,2,1
1,0,1,1,2,1,5,0,0,0,4467,1,1
8,1,0,1,3,4,4,0,2,2,1254,10,1
4,1,2,4,1,3,4,0,3,3,582,6,1
8,1,1,2,4,2,2,0,0,0,3547,2,1
3,1,2,3,5,3,5,1,1,1,3792,0,1
7,1,1,3,3,4,4,1,1,0,2533,8,1
4,1,2,4,4,4,0,1,0,0,3601,8,1
7,1,1,2,5,5,2,1,3,1,3335,8,1
2,1,1,2,4,3,2,0,0,0,3077,2,1
2,0,1,2,3,4,4,1,2,0,3991,10,1
2,2,0,2,4,2,0,0,2,1,4219,3,1
8,3,2,4,8,3,1,1,2,2,4225,10,1
3,2,0,3,6,3,4,1,3,2,3545,3,1
1,0,0,0,4,1,4,0,2,1,3986,4,1
5,2,2,1,8,1,3,1,0,0,603,8,1
5,1,2,3,1,2,1,0,1,0,645,7,1
8,2,1,2,4,4,5,0,3,2,1687,1,1
2,0,0,0,7,2,2,0,3,2,323,9,1
7,0,1,5,6,2,3,1,2,2,4737,8,1
6,2,3,6,1,1,5,0,2,0,3048,9,1
7,1,2,2,5,3,4,1,1,1,1510,5,1
6,2,1,2,1,5,1,0,3,1,2762,3,1
5,0,2,4,7,5,0,0,0,0,1926,9,1
6,1,1,1,2,4,5,0,0,0,3294,7,1
1,0,1,1,8,5,3,1,3,1,745,5,1
5,1,2,3,1,6,5,1,2,2,3805,10,1
5,2,0,5,7,4,3,0,3,3,1793,4,1
6,1,3,4,1,6,0,0,1,1,4401,4,1
7,2,2,7,7,4,4,1,0,0,1268,3,1
3,3,1,0,1,4,4,0,2,1,3029,3,1
7,3,2,3,5,2,3,1,1,1,2593,10,1
1,1,1,0,8,5,0,1,2,2,2718,0,1
3,3,1,0,5,3,3,1,3,1,4493,1,1
1,1,1,1,2,2,0,0,3,3,4866,4,1
6,2,1,5,1,3,1,1,3,0,1721,3,1
4,0,2,2,8,4,2,0,3,0,3209,10,1
3,3,0,2,7,1,3,0,1,0,2294,3,1
4,0,0,0,8,4,0,0,2,2,1138,2,1
2,1,2,0,6,6,2,1,2,0,432,3,1
6,2,2,2,8,6,3,1,3,2,1010,5,1
3,0,1,3,8,3,5,1,0,0,801,0,1
8,1,1,8,8,3,5,1,0,0,4636,8,1
8,3,0,3,7,1,5,0,3,2,4246,0,1
6,1,2,0,4,1,2,0,0,0,3743,1,1
7,2,1,1,1,6,4,1,1,0,4253,0,1
5,3,2,5,2,5,3,0,2,0,4889,8,1
8,0,1,6,6,5,1,0,3,1,4031,4,1
6,0,2,3,2,5,2,0,1,0,4124,9,1
2,1,1,2,2,6,2,0,1,0,3096,2,1
7,0,0,4,8,6,1,1,3,0,2395,8,1
5,3,0,2,4,4,5,0,0,0,1767,2,1
6,3,1,1,1,2,5,0,2,2,3202,9,1
5,1,3,5,4,5,2,1,0,0,657,4,1
7,1,1,2,1,4,1,1,0,0,4291,4,1
7,3,3,3,7,4,3,0,0,0,3502,7,1
8,1,3,3,4,5,0,1,0,0,763,9,1
1,1,1,0,3,2,4,0,3,2,2241,3,1
4,1,1,3,1,3,1,1,2,2,928,6,1
7,3,2,7,3,3,2,1,0,0,390,1,1
6,1,3,3,6,6,2,0,2,1,849,0,1
7,2,1,3,8,3,2,1,0,0,3919,5,1
1,1,0,0,4,1,1,0,0,0,3125,7,1
6,1,1,5,6,5,3,1,1,0,909,2,1
6,2,1,6,4,6,3,1,3,3,2213,4,1
1,0,1,0,5,1,2,1,2,1,762,1,1
7,0,2,2,2,3,2,1,2,2,3629,7,1
1,1,1,1,5,5,0,1,0,0,827,8,1
4,2,2,2,8,1,4,0,1,1,3062,0,1
7,2,2,3,8,4,2,0,1,1,1539,1,1
1,1,0,0,3,2,3,1,3,1,627,4,1
7,2,3,1,3,2,0,1,1,1,4793,5,1
1,1,1,1,1,1,0,1,3,2,4159,4,1
7,2,3,4,2,1,2,0,2,2,950,8,1
5,1,2,5,4,5,1,1,2,0,3584,9,1
4,0,3,1,5,1,1,0,2,0,4400,10,1
5,3,1,4,6,1,5,1,0,0,2583,10,1
3,0,2,1,2,1,1,0,1,1,4558,2,1
8,3,0,6,1,4,3,0,0,0,4988,9,1
6,2,0,2,5,1,1,0,2,0,3609,1,1
3,2,3,1,8,2,0,0,0,0,1232,9,1
8,2,2,6,1,5,4,0,1,0,1225,0,1
8,0,2,6,5,3,4,1,1,0,1559,9,1
6,3,3,1,3,5,1,0,1,1,2821,5,1
3,1,3,0,7,6,1,1,2,1,2446,10,1
8,3,0,8,8,1,0,1,0,0,2948,4,1
8,3,2,5,8,6,5,0,1,0,4742,9,1
8,0,2,4,1,4,4,0,0,0,3070,10,1
7,1,1,6,6,3,2,1,0,0,1816,1,1
6,2,0,3,8,5,5,0,2,1,4230,7,1
6,2,0,0,7,4,2,0,1,0,3432,7,1
6,3,3,4,6,1,4,0,2,1,3302,6,1
3,1,0,1,8,1,0,0,0,0,2266,1,1
3,2,1,0,8,1,4,0,3,1,938,10,1
1,0,0,1,8,4,1,0,0,0,4121,7,1
6,2,2,5,5,6,2,1,1,0,1540,1,1
8,2,1,6,4,6,4,0,2,1,4030,9,1
4,0,2,0,5,2,0,0,3,3,3187,9,1
8,1,0,6,3,4,2,1,1,1,469,1,1
4,3,3,1,6,2,1,1,3,1,3673,9,1
8,3,1,4,6,5,0,0,2,1,3581,3,1
2,2,2,1,2,1,5,0,0,0,686,7,1
6,0,3,1,4,5,4,0,3,2,1283,10,1
1,1,0,1,8,1,5,1,1,1,1384,10,1
2,0,0,2,1,1,4,0,1,0,4969,8,1
5,0,0,4,7,1,1,1,3,0,1009,2,1
1,0,1,1,1,3,4,1,0,0,4657,6,1
7,3,1,0,7,6,5,1,3,2,690,7,1
3,1,2,3,5,5,4,1,3,3,3563,0,1
4,3,2,0,4,4,0,0,1,0,1425,4,1
3,3,0,2,5,6,2,1,1,0,2016,10,1
5,3,0,3,7,5,2,1,3,1,3232,3,1
7,1,2,3,5,2,0,1,2,0,928,7,1
5,2,0,4,6,1,4,0,1,0,2949,0,1
8,3,1,7,2,1,5,1,2,2,494,5,1
5,0,1,4,2,1,4,1,3,1,1293,6,1
5,2,0,4,8,4,5,1,0,0,1591,9,1
6,3,0,1,3,1,3,0,3,1,3202,10,1
4,1,0,3,3,4,2,0,3,3,2163,7,1
3,2,1,0,7,2,1,1,1,1,871,8,1
8,0,2,2,5,2,5,0,1,1,1460,1,1
1,0,1,1,1,6,2,0,1,0,4444,10,1
4,2,1,1,1,4,2,0,3,1,4134,2,1
4,3,2,4,3,2,2,0,1,1,4252,4,1
1,0,1,1,3,3,1,1,1,0,691,9,1
2,0,2,2,2,1,5,0,1,0,2496,8,1
1,0,0,0,7,5,3,1,2,1,377,4,1
6,1,0,3,1,1,3,1,3,2,1509,2,1
8,1,3,1,6,3,0,1,1,0,3786,7,1
3,1,1,3,2,3,4,1,2,0,2278,9,1
8,1,1,4,1,4,5,0,2,0,2164,6,1
1,1,1,1,3,6,2,0,3,2,3731,4,1
3,2,1,2,4,3,2,0,2,2,2811,1,1
7,3,0,3,1,6,1,1,2,2,4872,0,1
6,2,1,5,6,1,2,0,1,0,2672,1,1
6,1,1,3,2,3,0,0,3,3,2539,8,1
8,0,2,2,6,1,3,0,1,1,485,1,1
8,1,3,5,8,6,2,0,0,0,986,8,1
7,3,3,2,3,3,2,0,0,0,956,6,1
7,1,2,3,2,5,4,1,0,0,3119,3,1
3,2,3,0,7,3,5,1,3,3,4607,6,1
1,0,1,0,2,1,3,0,1,1,1218,3,1
3,3,0,0,7,5,5,1,0,0,4364,0,1
6,2,2,3,1,1,1,1,3,1,4241,2,1
3,0,0,0,8,5,0,0,2,1,1343,5,1
2,0,2,2,3,6,1,0,3,1,2565,0,1
7,1,3,1,2,6,0,1,1,0,4982,9,1
3,3,2,1,6,6,1,0,0,0,4272,3,1
3,1,1,2,4,3,4,0,2,0,1794,6,1
2,0,0,0,8,4,1,0,0,0,1813,8,1
1,0,0,1,8,5,1,1,0,0,3197,1,1
4,1,2,3,8,6,1,1,3,2,885,2,1
3,3,3,3,8,3,3,1,0,0,3402,6,1
2,1,0,0,5,1,0,0,0,0,497,9,1
4,3,2,2,8,5,2,1,0,0,1996,1,1
7,1,3,0,4,5,2,0,2,2,1054,7,1
4,1,3,2,7,2,2,1,1,1,662,2,1
1,1,1,1,2,5,5,0,0,0,3304,3,1
2,0,2,1,4,4,0,0,2,0,3368,10,1
1,1,1,0,8,4,1,1,2,1,2727,1,1
5,1,0,3,8,4,1,0,1,0,4726,2,1
1,0,1,1,5,3,3,0,0,0,4948,9,1
8,3,2,7,8,6,0,1,2,0,556,1,1
6,1,1,1,7,5,1,1,3,0,2165,3,1
7,1,1,7,5,6,2,0,3,0,1070,0,1
8,2,2,0,6,1,5,0,0,0,4723,1,1
4,0,1,0,3,3,2,0,3,3,682,3,1
6,3,3,5,8,5,0,0,0,0,909,5,1
5,3,0,2,8,4,4,0,3,0,1325,9,1
5,0,0,1,5,6,0,1,2,2,1517,2,1
5,1,1,3,5,1,3,1,1,1,3454,4,1
3,3,1,3,5,1,3,0,2,1,4184,1,1
1,1,1,1,8,5,3,0,0,0,4988,1,1
7,1,3,4,7,4,0,1,2,0,4477,5,1
8,0,1,6,5,4,3,0,3,3,4615,8,1
1,0,0,0,2,5,5,1,2,2,1260,3,1
8,3,2,2,8,4,2,1,3,1,2904,3,1
2,2,1,1,7,3,4,1,0,0,4425,2,1
7,1,1,1,4,2,4,1,0,0,1208,6,1
3,1,1,3,8,5,5,0,2,2,3800,9,1
2,1,1,1,4,3,3,1,2,0,3637,2,1
8,2,3,2,8,6,2,0,3,1,2725,7,1
2,0,0,0,1,6,4,0,2,1,2321,9,1
1,0,0,1,2,2,3,0,0,0,464,2,1
3,1,0,2,1,3,2,0,2,1,3473,2,1
4,0,0,0,6,1,4,0,2,0,3405,4,1
7,3,0,0,5,4,4,0,3,3,2345,10,1
3,0,2,2,1,1,0,0,1,0,2491,8,1
8,1,0,5,1,1,1,1,0,0,3259,1,1
5,0,0,3,2,5,2,0,1,1,3380,10,1
8,0,3,3,1,3,3,1,1,1,1847,2,1
5,2,3,1,1,6,2,1,2,0,1157,8,1
7,0,2,7,5,3,4,1,2,2,1690,9,1
5,3,1,2,6,2,3,0,0,0,693,6,1
4,2,2,0,6,1,1,0,0,0,3063,0,1
6,3,1,4,2,3,0,0,1,1,4662,9,1
6,2,1,1,5,2,2,0,0,0,2857,1,1
1,0,1,1,2,4,3,1,3,0,349,0,1
7,1,2,0,5,1,4,1,3,3,4686,0,1
8,2,1,5,8,6,5,0,2,2,1929,2,1
8,0,3,2,1,3,2,0,1,0,3583,1,1
5,3,1,1,7,5,1,0,3,2,1216,2,1
7,3,2,0,4,5,1,1,2,2,3371,10,1
1,1,0,0,6,2,4,0,0,0,927,10,1
8,1,1,5,1,5,4,1,2,2,4497,2,1
7,0,0,0,5,3,3,0,1,1,2165,1,1
8,0,3,3,8,5,1,1,1,0,596,7,1
5,0,2,0,7,4,0,0,1,1,3322,1,1
4,1,2,0,4,2,1,0,2,2,4633,6,1
3,0,1,3,7,3,1,1,2,0,2010,6,1
3,1,3,2,6,4,1,1,0,0,324,8,1
2,0,1,2,1,3,4,0,0,0,1673,2,1
8,3,0,0,4,5,2,1,0,0,1013,5,1
1,0,1,0,8,4,5,0,2,0,3674,1,1
6,3,1,2,7,6,1,1,1,1,1462,7,1
3,1,1,3,1,2,3,0,3,3,3443,8,1
4,1,2,3,8,2,5,1,2,1,3329,2,1
7,3,1,1,1,4,3,0,1,1,3517,2,1
6,3,2,3,8,3,4,0,2,2,499,4,1
3,0,2,1,2,3,5,1,1,0,2826,9,1
6,0,2,4,3,2,3,1,0,0,3873,1,1
4,0,2,2,1,4,2,0,1,1,3603,4,1
7,3,0,5,1,4,5,0,3,3,3688,8,1
3,1,2,0,7,2,1,1,2,0,3154,10,1
4,0,3,4,1,5,4,1,3,2,3528,5,1
4,3,2,1,2,5,5,0,0,0,641,2,1
2,1,1,0,2,4,3,0,1,0,1521,0,1
1,1,0,0,3,1,5,1,0,0,2248,6,1
6,2,2,6,8,6,0,1,2,1,1989,9,1
1,1,1,1,1,4,1,1,0,0,1458,2,1
8,1,3,8,5,4,0,1,1,0,3373,2,1
8,0,2,7,1,2,4,1,0,0,1075,0,1
7,3,1,0,1,2,0,1,3,1,3772,10,1
4,2,0,2,1,1,0,0,0,0,3905,5,1
1,0,0,1,3,1,1,1,3,2,3807,6,1
3,0,1,2,4,2,0,0,3,0,2399,3,1
2,2,0,2,8,6,5,0,1,0,2556,5,1
5,0,3,1,2,4,3,1,0,0,1047,3,1
1,1,0,1,6,5,4,0,2,2,2244,0,1
4,1,1,4,7,3,3,0,3,2,3069,0,1
6,1,0,4,5,1,4,0,1,0,4716,7,1
4,3,1,0,3,1,4,0,2,1,1033,10,1
6,2,1,2,1,5,1,1,3,1,614,8,1
1,0,1,1,8,3,2,1,2,0,2792,1,1
4,3,2,0,7,5,4,0,3,1,369,6,1
8,1,0,6,5,4,0,1,1,0,1455,2,1
2,2,1,0,2,5,2,1,0,0,4166,0,1
3,3,2,0,3,6,3,0,3,3,4457,5,1
5,0,3,5,8,6,5,0,0,0,4975,10,1
3,3,1,1,7,3,5,1,2,2,684,7,1
3,2,0,1,8,5,2,0,1,0,860,2,1
2,0,0,1,7,1,5,1,2,2,2268,6,1
1,1,0,0,4,4,3,0,2,0,3697,3,1
4,1,2,0,3,2,3,0,3,2,2017,4,1
5,0,1,1,2,1,0,0,1,0,4347,10,1
3,1,3,1,7,3,1,1,3,1,2746,0,1
3,1,1,0,1,2,5,1,2,2,3854,6,1
6,3,3,4,7,4,4,0,0,0,4790,4,1
2,1,2,2,8,1,4,0,3,2,4575,3,1
7,2,3,2,1,3,4,1,0,0,4755,0,1
7,2,0,6,6,5,5,1,0,0,413,3,1
1,1,0,0,1,6,4,0,2,2,642,10,1
5,0,0,0,5,6,5,0,3,3,608,3,1
4,3,0,3,8,4,2,0,0,0,4139,5,1
5,3,0,2,1,2,1,1,3,3,2862,0,1
7,3,0,2,4,2,0,1,3,0,3130,2,1
2,2,0,1,1,6,0,1,3,3,3010,2,1
2,0,2,1,2,5,1,0,1,1,4001,4,1
7,1,1,3,4,4,0,0,2,0,1053,10,1
7,2,1,4,8,1,4,0,2,0,3232,1,1
4,3,0,1,2,6,5,1,3,0,764,2,1
8,2,0,8,2,3,4,0,2,1,4457,6,1
7,3,2,1,8,3,1,1,2,0,875,10,1
8,3,0,8,3,5,1,0,0,0,2459,2,1
5,3,2,0,1,3,2,1,3,1,1110,4,1
2,2,0,1,2,2,3,0,0,0,2585,4,1
5,2,2,4,2,6,4,0,2,0,1361,5,1
2,0,2,0,1,6,2,0,1,0,3247,7,1
1,1,0,1,1,4,1,0,0,0,1160,10,1
8,2,0,5,5,1,5,0,3,0,3816,1,1
8,3,0,7,2,1,5,0,3,2,885,7,1
1,1,1,1,2,6,1,1,1,1,2263,0,1
4,2,2,1,7,6,1,0,3,1,934,2,1
7,2,0,4,4,5,2,1,2,1,3320,0,1
8,2,3,5,5,2,3,0,1,1,3421,8,1
5,1,3,2,1,6,4,0,2,0,2365,5,1
3,3,2,3,3,1,5,0,1,1,4371,5,1
5,1,2,4,6,6,0,1,0,0,2883,6,1
1,1,1,1,1,2,0,0,3,3,2914,3,1
