url_count,ip_url_count,suspicious_tld_count,long_url_count,urgent_count,credential_count,threat_count,reply_to_mismatch,attachment_count,suspicious_attachment_count,text_length,exclamation_count,phishing_percentage,label
1,0,0,0,0,0,1,0,0,0,222,8,39,0
5,0,0,0,5,3,2,1,0,0,706,3,97,1
1,0,1,0,5,4,0,1,0,0,193,0,46,0
2,2,0,2,6,6,3,0,0,2,682,7,70,1
3,1,0,0,2,6,3,0,0,0,920,7,61,1
0,0,0,0,0,0,1,0,0,0,187,0,9,0
1,0,0,0,0,1,1,0,0,0,553,1,15,0
3,1,2,2,0,4,5,0,0,2,532,4,75,1
0,0,0,0,4,0,1,0,1,1,1511,7,84,1
0,0,0,0,2,1,1,0,0,0,172,3,37,0
2,0,0,0,4,0,1,0,0,0,217,8,33,0
0,0,0,0,1,0,0,0,0,0,161,0,28,0
2,0,0,2,6,1,1,0,0,0,227,7,39,0
2,2,1,1,4,4,3,1,0,2,181,6,88,1
2,2,1,0,0,1,5,0,2,1,1280,0,94,1
6,0,1,2,5,3,2,0,2,1,1400,7,97,1
1,0,0,0,1,1,1,0,0,0,428,0,11,0
1,0,0,0,1,1,1,0,0,0,778,1,20,0
4,0,1,0,2,2,2,0,1,2,1789,0,97,1
4,1,1,0,1,4,2,1,2,1,1656,0,84,1
1,0,0,0,0,1,1,0,0,0,815,1,26,0
0,0,0,0,0,0,1,0,0,0,664,0,15,0
3,0,0,0,3,0,5,0,1,2,697,8,70,1
2,1,1,1,1,3,4,0,1,0,1327,8,90,1
1,0,1,1,2,6,4,1,0,1,1586,4,95,1
4,2,1,0,3,4,3,1,1,2,1212,6,75,1
2,0,2,0,4,3,1,1,0,0,751,7,58,1
6,1,1,2,6,6,5,0,1,0,358,8,90,1
2,0,1,0,4,3,0,0,1,2,416,1,75,1
2,1,2,2,3,5,0,1,2,0,1192,6,60,1
2,0,2,1,6,4,0,0,0,0,732,1,40,0
2,0,0,0,5,1,0,0,0,0,864,1,30,0
0,0,1,0,5,2,0,0,1,0,214,4,55,1
2,0,1,0,1,4,1,0,0,0,448,2,45,0
1,0,0,0,0,1,0,0,0,0,337,1,10,0
2,1,1,2,0,6,3,1,2,2,423,1,81,1
2,2,1,2,3,5,2,1,1,0,507,6,56,1
0,0,1,2,2,4,2,1,0,0,910,4,61,1
0,0,0,0,1,1,0,0,0,0,410,1,1,0
0,0,0,0,1,0,0,0,0,0,742,0,28,0
1,0,0,0,4,1,0,0,0,0,192,4,39,0
2,0,1,0,1,1,1,0,0,0,643,8,41,0
0,0,0,0,2,1,1,0,0,0,864,5,34,0
1,0,0,0,0,0,0,0,0,0,506,1,14,0
1,0,0,0,0,1,0,0,0,0,565,1,11,0
5,2,1,2,3,6,5,1,0,2,578,7,86,1
1,0,0,0,0,0,1,0,0,0,458,1,3,0
3,0,0,0,0,2,3,0,0,0,1200,2,83,1
3,0,1,2,5,5,1,0,0,0,949,1,49,0
4,1,1,0,5,2,1,1,1,0,583,5,62,1
1,0,0,0,1,0,1,0,0,0,382,0,12,0
1,0,0,0,0,0,0,0,0,0,151,1,15,0
0,0,0,0,6,0,0,0,0,0,949,8,31,0
0,0,0,0,0,1,0,0,0,0,710,0,26,0
0,0,0,0,4,1,0,0,0,0,212,0,35,0
0,0,0,0,1,0,1,0,0,0,116,0,16,0
0,0,0,0,1,1,0,0,0,0,863,1,33,0
3,1,2,2,0,3,4,0,2,0,188,8,60,1
1,0,0,2,0,0,1,0,0,0,967,6,38,0
0,0,2,1,0,0,2,0,0,0,358,4,54,1
5,2,2,2,2,3,4,1,1,2,1339,6,79,1
0,0,0,0,0,1,1,0,0,0,333,1,12,0
1,0,1,1,5,0,1,0,0,0,974,5,43,0
2,1,0,2,3,0,0,0,0,1,297,5,85,1
0,0,0,0,1,0,1,0,0,0,462,1,16,0
0,0,2,1,2,0,4,0,0,2,1087,3,92,1
1,0,0,0,1,0,1,0,0,0,687,0,13,0
0,0,0,0,2,5,2,1,1,0,112,2,54,1
1,0,0,0,0,0,0,0,0,0,193,0,18,0
3,0,1,1,1,2,1,1,0,0,273,0,48,0
0,0,0,0,0,0,1,0,0,0,553,1,19,0
4,1,1,1,1,6,4,0,1,0,980,1,62,1
2,0,0,2,4,1,1,0,0,0,146,3,36,0
0,0,0,1,1,6,1,1,1,0,771,1,50,1
1,0,0,0,1,0,0,0,0,0,294,0,0,0
4,2,1,0,3,6,5,0,1,0,138,7,64,1
1,0,0,0,1,1,1,0,0,0,396,0,9,0
0,0,0,2,3,6,5,1,0,0,994,1,51,1
1,0,0,0,4,1,0,0,0,0,505,4,31,0
2,0,1,0,0,4,5,0,2,2,497,5,95,1
2,0,2,0,1,0,0,0,0,0,624,3,44,0
0,0,0,0,0,0,1,0,0,0,575,1,22,0
4,2,2,2,2,6,5,1,0,1,239,7,87,1
2,1,2,0,2,4,0,1,1,0,1025,0,56,1
1,0,0,0,1,0,0,0,0,0,414,1,7,0
0,0,2,2,1,2,4,1,2,0,408,0,59,1
0,0,2,0,4,5,1,0,0,0,996,7,57,1
4,2,0,1,2,2,3,1,1,2,1324,0,67,1
5,1,0,1,0,4,5,1,1,1,1582,2,80,1
0,0,2,2,1,2,1,0,0,0,902,2,42,0
5,0,1,2,3,5,2,0,2,2,1613,8,76,1
1,0,0,0,1,0,1,0,0,0,416,0,11,0
1,0,0,0,1,0,0,0,0,0,240,0,27,0
1,0,0,0,0,0,1,0,0,0,234,1,9,0
0,0,0,0,0,0,1,0,0,0,144,1,19,0
1,0,1,2,2,6,1,0,0,0,589,4,46,0
3,0,1,2,4,3,3,1,1,2,1180,6,100,1
0,0,0,0,0,1,0,0,0,0,756,1,20,0
0,0,2,2,6,0,1,0,0,0,428,4,47,0
1,1,0,0,6,3,2,0,1,0,209,6,57,1
2,0,1,0,2,1,0,1,0,0,1431,5,64,1
0,0,0,0,0,1,1,0,0,0,242,1,18,0
0,0,0,1,1,6,1,1,0,0,690,3,57,1
0,0,0,0,1,1,1,0,0,0,164,1,38,0
4,2,0,2,4,4,1,0,1,0,979,0,63,1
2,0,2,1,1,5,5,0,2,1,238,8,78,1
4,2,2,0,3,6,3,0,2,1,864,4,69,1
0,0,0,1,1,5,5,0,2,2,1649,5,95,1
0,0,0,0,1,1,0,0,0,0,575,1,17,0
1,0,0,2,6,3,0,1,0,0,508,0,80,1
1,0,2,1,6,4,1,0,0,0,359,0,40,0
5,0,1,1,6,6,0,1,1,0,1737,5,96,1
3,2,1,1,2,1,3,1,1,0,1163,4,55,1
1,0,0,0,0,1,0,0,0,0,400,1,10,0
0,0,0,0,1,1,1,0,0,0,556,1,13,0
1,0,0,0,1,1,0,0,0,0,461,1,21,0
2,0,0,0,0,1,1,0,0,0,625,2,35,0
0,0,0,0,1,0,0,0,0,0,134,0,3,0
5,1,1,1,4,0,4,0,2,1,859,5,99,1
0,0,2,1,3,2,5,1,0,0,332,0,56,1
1,1,2,1,4,0,2,1,2,1,539,4,94,1
3,0,0,0,6,0,3,0,2,1,279,5,88,1
2,2,0,2,4,2,2,0,2,2,1534,2,85,1
1,0,0,0,6,1,0,1,0,0,153,5,46,0
4,1,1,2,1,4,0,0,1,1,1080,8,70,1
3,2,0,0,2,5,0,1,1,0,1159,5,52,1
0,0,0,0,0,1,0,0,0,0,227,0,16,0
0,0,0,0,2,0,1,0,0,0,1070,8,38,0
0,0,0,1,1,1,0,0,0,0,740,4,36,0
4,0,2,2,1,4,4,0,0,2,1378,5,78,1
0,0,0,0,5,6,4,1,2,0,1271,6,72,1
5,0,1,2,4,2,5,1,1,0,1502,6,79,1
1,0,0,0,5,0,0,0,0,0,550,6,38,0
3,0,1,2,1,2,5,1,2,0,807,6,61,1
1,0,0,0,0,1,0,0,0,0,577,0,16,0
1,0,0,0,1,0,0,0,0,0,151,4,34,0
3,0,0,0,6,2,1,0,0,0,426,7,49,0
3,1,1,1,0,0,3,1,0,0,1294,5,65,1
0,0,0,0,1,1,1,0,0,0,246,0,6,0
1,0,0,0,0,1,1,0,0,0,512,1,13,0
1,0,0,0,0,0,1,0,0,0,383,1,5,0
1,0,0,0,1,1,0,0,0,0,231,0,9,0
2,1,2,1,6,1,1,1,2,0,182,0,50,1
0,0,0,0,1,1,1,0,0,0,176,0,4,0
2,0,1,0,3,4,1,0,0,0,707,5,41,0
4,2,1,2,4,2,3,0,1,0,778,1,64,1
2,2,2,2,0,4,3,1,2,0,1284,3,53,1
0,0,0,2,5,5,4,1,0,2,596,0,92,1
0,0,0,1,2,3,1,1,2,0,940,8,73,1
4,1,2,2,0,5,1,0,2,1,1456,7,99,1
3,1,0,1,4,2,4,1,2,2,1494,4,67,1
3,0,0,1,4,2,1,1,1,2,524,7,78,1
1,0,1,2,6,5,1,0,0,0,394,1,40,0
4,1,1,1,6,6,1,1,0,1,1562,1,73,1
1,0,2,1,5,3,0,0,0,0,513,8,44,0
2,0,0,0,5,1,0,0,0,0,211,3,34,0
0,0,0,0,5,0,0,0,0,0,153,1,31,0
2,2,1,0,5,6,1,0,2,0,423,6,52,1
3,1,2,0,6,2,2,1,2,0,1674,1,83,1
4,0,2,2,5,6,0,0,1,0,174,6,83,1
3,0,2,1,0,0,2,0,1,1,1030,8,100,1
3,0,2,1,2,1,0,1,0,2,1039,4,67,1
1,0,2,1,6,2,4,0,0,2,1853,6,91,1
2,0,1,2,0,1,1,1,1,0,608,0,54,1
1,0,0,0,1,1,1,0,0,0,437,4,33,0
4,0,1,2,2,5,1,0,2,0,1053,4,74,1
1,0,0,0,1,0,1,0,0,0,476,0,20,0
0,0,0,0,1,0,1,0,0,0,865,1,28,0
3,2,2,0,6,1,5,0,2,0,1014,8,53,1
2,0,2,0,0,6,4,0,2,2,406,2,90,1
2,0,1,0,5,1,1,0,0,0,193,8,41,0
0,0,0,2,3,3,4,0,2,0,1046,4,57,1
0,0,1,0,5,1,4,0,0,1,805,1,92,1
0,0,1,0,2,3,1,0,2,2,1422,6,69,1
3,0,1,1,3,0,0,1,0,0,342,2,47,0
3,2,0,2,1,6,0,0,1,1,1479,8,68,1
3,0,0,1,2,1,2,0,2,0,331,0,54,1
3,2,0,0,1,0,0,0,1,2,1476,0,84,1
2,0,0,0,0,1,1,0,0,0,339,8,31,0
0,0,0,0,0,1,0,0,0,0,849,1,27,0
4,2,1,0,2,1,5,0,1,1,663,0,73,1
4,2,0,2,5,3,4,1,0,1,1417,6,71,1
4,1,2,1,3,1,2,1,0,2,1069,3,100,1
1,0,0,0,0,1,0,0,0,0,675,1,28,0
1,1,0,1,1,2,5,0,1,0,859,1,53,1
1,0,1,1,5,4,4,0,0,0,1303,8,68,1
1,0,0,0,0,1,1,0,0,0,115,0,27,0
0,0,0,0,1,0,0,0,0,0,506,0,24,0
2,1,1,1,4,5,2,1,1,1,1150,7,70,1
0,0,1,0,2,2,3,0,2,0,553,2,59,1
1,0,0,0,1,1,0,0,0,0,200,1,2,0
1,0,0,0,0,1,1,0,0,0,363,1,29,0
5,2,1,1,1,5,2,0,0,2,1219,7,92,1
0,0,0,0,0,0,0,0,0,0,106,1,23,0
0,0,0,0,0,0,0,0,0,0,323,1,17,0
0,0,2,2,5,4,1,1,0,0,132,0,47,0
4,1,0,0,4,5,2,1,0,2,1480,6,68,1
0,0,0,0,0,0,0,0,0,0,296,1,22,0
2,0,1,0,2,3,1,0,0,0,562,4,45,0
0,0,0,1,3,3,4,1,0,2,119,2,87,1
1,0,0,0,1,1,0,0,0,0,640,0,10,0
0,0,0,0,1,1,0,0,0,0,176,1,29,0
4,2,0,0,6,2,0,0,2,0,915,1,69,1
0,0,0,2,1,1,1,0,0,0,493,2,38,0
5,0,2,2,2,0,0,1,0,0,797,6,88,1
2,0,2,1,6,3,3,0,1,2,868,6,99,1
1,0,0,0,0,1,0,0,0,0,830,0,23,0
1,0,0,0,0,1,0,0,0,0,498,1,10,0
0,0,0,0,2,3,1,1,0,0,309,2,46,0
0,0,0,0,1,1,1,0,0,0,205,0,11,0
1,0,0,0,0,1,1,0,0,0,112,1,11,0
3,0,2,2,1,4,4,0,2,0,879,2,52,1
1,0,0,0,1,1,1,0,0,0,249,0,17,0
1,0,0,0,1,1,1,0,0,0,595,0,21,0
2,0,0,2,5,3,0,1,0,0,319,2,46,0
0,0,0,1,2,1,1,0,0,0,550,5,38,0
1,1,1,2,5,1,3,1,0,0,915,5,55,1
2,0,0,2,5,1,0,0,0,0,433,6,37,0
1,0,0,1,0,0,0,0,0,0,798,8,35,0
1,0,0,0,0,1,1,0,0,0,525,0,3,0
3,0,2,1,1,2,5,0,2,0,966,6,52,1
1,0,0,0,1,1,1,0,0,0,137,1,9,0
4,2,2,0,0,6,1,1,0,2,1354,0,89,1
3,1,1,0,0,0,2,0,2,2,1162,8,72,1
4,0,1,1,3,3,5,0,1,0,1088,1,74,1
1,0,0,0,0,0,1,0,0,0,419,5,37,0
1,1,1,1,0,3,5,1,1,0,237,4,58,1
0,0,0,0,0,1,0,0,0,0,446,0,5,0
1,0,2,0,2,4,3,1,0,1,1389,2,94,1
1,0,0,0,1,0,0,0,0,0,560,1,23,0
0,0,2,0,1,2,0,0,0,0,1199,2,49,0
2,0,0,1,0,2,1,1,0,0,895,6,46,0
0,0,1,1,4,1,5,1,2,2,273,2,75,1
0,0,0,1,0,1,1,0,0,0,810,2,40,0
3,1,2,0,4,3,3,0,1,2,1200,2,65,1
1,1,1,0,1,2,3,0,1,0,1092,2,71,1
1,0,0,0,1,1,1,0,0,0,525,1,24,0
1,0,2,0,6,6,1,1,0,0,662,3,62,1
2,0,1,2,5,6,3,0,2,0,648,8,68,1
0,0,2,1,4,1,1,0,0,0,606,4,46,0
1,0,0,0,1,1,0,0,0,0,324,0,4,0
6,0,0,2,4,5,2,1,0,2,385,3,99,1
0,0,0,0,1,1,0,0,0,0,431,1,26,0
2,0,0,1,6,0,0,0,0,0,868,6,37,0
1,0,0,0,0,0,0,0,0,0,174,1,7,0
2,0,0,0,3,1,0,0,0,0,691,4,31,0
3,1,1,0,5,6,0,1,2,2,669,5,80,1
3,1,2,0,6,6,5,0,2,0,1038,5,58,1
1,0,0,0,0,1,0,0,0,0,606,1,8,0
1,0,1,2,4,1,1,0,0,0,907,5,41,0
0,0,0,2,6,6,3,0,0,0,1003,7,87,1
1,0,0,0,0,0,1,0,0,0,181,1,0,0
1,0,0,0,1,0,1,0,0,0,269,0,11,0
2,2,2,0,3,5,0,0,0,0,537,7,50,1
0,0,0,0,0,1,0,0,0,0,108,1,9,0
1,0,0,0,0,1,0,0,0,0,334,1,15,0
0,0,0,0,0,1,1,0,0,0,406,0,11,0
1,0,2,2,1,0,0,0,0,0,1001,5,48,0
1,0,1,2,5,3,1,0,0,0,1641,1,92,1
5,1,1,1,2,6,1,0,1,2,272,3,75,1
4,2,2,2,2,6,5,0,2,1,520,8,70,1
4,0,2,1,2,5,0,0,1,1,330,3,77,1
4,0,2,0,2,2,1,1,2,0,961,5,63,1
1,1,0,0,4,0,0,1,0,0,223,6,69,1
2,2,2,2,6,3,3,1,0,0,1411,8,64,1
4,0,1,0,2,0,4,0,0,2,769,6,68,1
5,2,2,2,0,2,5,1,2,0,218,3,75,1
1,0,0,0,0,1,0,0,0,0,416,0,11,0
0,0,0,0,0,0,0,0,0,0,608,1,15,0
4,2,1,0,2,1,5,1,2,0,160,5,66,1
2,2,0,1,5,4,5,0,1,0,1032,8,54,1
0,0,1,2,1,2,0,1,0,0,310,1,46,0
0,0,0,0,0,0,0,0,0,0,147,1,29,0
3,0,0,0,6,0,1,0,0,0,759,3,46,0
2,1,0,2,2,0,4,0,0,0,557,8,53,1
1,0,0,0,0,1,1,0,0,0,496,1,5,0
0,0,2,1,0,2,0,0,0,0,398,4,41,0
4,0,1,1,4,3,1,0,0,0,939,0,94,1
1,0,0,0,0,1,0,0,0,0,877,1,29,0
5,1,0,0,4,1,3,1,0,0,1557,4,94,1
0,0,0,0,0,1,1,0,0,0,569,0,11,0
0,0,2,1,0,4,4,0,1,2,367,3,74,1
1,0,0,1,6,1,1,0,0,0,425,7,37,0
0,0,0,0,0,0,0,0,0,0,898,1,34,0
0,0,0,0,0,1,1,0,0,0,421,1,19,0
1,0,0,0,0,1,1,0,0,0,574,1,15,0
0,0,0,0,0,1,0,0,0,0,320,1,15,0
0,0,0,0,0,1,1,0,0,0,625,0,18,0
2,1,0,0,3,6,3,0,0,1,308,2,86,1
0,0,0,0,0,0,0,0,0,0,302,1,15,0
0,0,2,2,2,6,0,0,0,0,232,3,47,0
3,0,0,1,0,0,3,0,0,2,987,6,82,1
0,0,2,1,1,2,1,0,1,0,673,7,63,1
0,0,0,0,0,1,1,0,0,0,521,1,19,0
0,0,0,0,1,1,0,0,0,0,314,0,7,0
4,0,2,2,6,0,3,1,1,2,1700,7,82,1
2,0,2,1,3,2,0,0,0,0,153,5,44,0
1,0,1,0,6,3,4,1,2,0,426,1,76,1
2,0,0,0,1,1,0,0,0,0,882,3,31,0
3,1,0,0,1,4,2,1,2,0,1540,5,73,1
4,0,2,0,6,6,3,1,0,1,177,1,72,1
0,0,0,0,0,0,1,0,0,0,100,1,7,0
1,0,1,2,1,6,2,0,0,0,1301,2,78,1
0,0,0,1,5,5,3,0,1,1,760,2,99,1
1,0,0,0,1,1,0,0,0,0,675,1,20,0
0,0,0,0,1,1,1,0,0,0,230,0,28,0
0,0,2,0,1,4,2,0,2,2,313,7,93,1
1,0,0,0,0,0,1,0,0,0,427,0,18,0
0,0,1,0,2,1,1,0,1,1,1711,1,81,1
0,0,1,1,5,3,1,1,1,1,819,8,92,1
0,0,1,2,5,6,0,0,0,0,1024,1,48,0
1,0,0,0,0,1,1,0,0,0,153,0,4,0
0,0,1,0,5,0,0,0,0,0,792,7,43,0
0,0,2,0,4,3,1,0,0,1,520,3,90,1
2,2,1,1,1,0,0,1,2,0,1225,7,52,1
0,0,0,0,1,0,1,0,0,0,189,1,19,0
5,2,1,0,0,0,1,0,2,1,267,7,84,1
1,0,0,0,1,1,1,0,0,0,371,0,14,0
4,1,0,1,3,2,1,1,0,1,1000,7,82,1
0,0,0,0,6,1,0,0,0,0,254,1,33,0
1,0,0,0,1,0,0,0,0,0,496,1,10,0
3,2,0,1,2,0,3,0,2,2,1158,2,68,1
1,0,0,0,0,0,0,0,0,0,297,0,15,0
1,0,0,0,0,1,0,0,0,0,521,0,5,0
2,1,2,0,0,3,4,1,2,1,665,8,76,1
0,0,0,1,1,1,4,0,0,0,1252,1,58,1
2,2,1,1,2,3,5,1,2,2,1068,0,100,1
1,0,0,0,1,0,1,0,0,0,139,1,22,0
2,0,0,0,5,3,1,0,0,0,862,0,42,0
1,0,1,1,6,3,0,0,0,0,566,2,43,0
2,0,0,1,6,1,1,0,0,0,846,6,38,0
5,0,0,1,1,6,3,1,2,1,215,8,77,1
0,0,0,0,1,1,0,0,0,0,636,0,20,0
0,0,0,0,0,0,0,0,0,0,133,1,22,0
1,0,0,0,0,1,1,0,0,0,521,1,6,0
3,2,0,2,0,1,2,1,2,0,1013,2,64,1
4,2,1,1,1,6,2,0,1,0,156,6,60,1
0,0,0,0,0,0,0,0,0,0,446,0,6,0
2,0,0,0,3,0,0,0,0,0,585,2,34,0
1,0,0,1,4,6,2,1,1,1,814,7,82,1
0,0,0,0,3,1,1,0,0,0,698,1,32,0
1,0,0,0,1,1,0,0,0,0,346,0,0,0
1,0,2,1,6,2,1,0,0,0,711,3,43,0
0,0,0,0,0,1,1,0,0,0,243,0,19,0
3,1,1,1,3,3,5,0,2,2,1271,3,83,1
2,0,2,0,5,4,1,0,0,0,834,8,43,0
0,0,0,2,4,0,1,0,0,0,199,7,38,0
1,0,0,0,0,1,0,0,0,0,327,1,16,0
1,0,0,0,1,1,1,0,0,0,366,1,28,0
0,0,0,2,4,4,4,0,1,0,498,8,59,1
1,0,0,0,1,1,0,0,0,0,254,0,15,0
1,0,0,0,1,1,0,0,0,0,423,0,25,0
0,0,1,2,1,2,5,0,0,1,660,3,99,1
6,0,2,0,3,6,0,0,2,1,1397,6,97,1
3,1,1,0,0,4,1,1,0,0,759,8,51,1
0,0,0,0,0,0,0,0,0,0,810,1,24,0
0,0,0,0,3,1,0,0,0,0,166,0,39,0
1,0,0,1,5,1,1,0,0,0,1009,2,38,0
1,0,1,0,1,6,1,0,0,0,139,3,43,0
0,0,0,0,0,0,0,0,0,0,226,1,28,0
5,0,1,2,2,6,4,0,2,0,1455,1,91,1
0,0,2,0,3,3,3,0,2,1,1071,2,83,1
0,0,0,0,1,1,0,0,0,0,778,1,26,0
4,2,0,1,6,0,4,0,1,0,317,7,79,1
0,0,0,0,1,0,1,0,0,0,820,1,25,0
0,0,0,0,4,1,0,0,0,0,804,7,37,0
0,0,0,0,5,0,0,0,0,0,1111,2,42,0
0,0,0,0,0,1,0,0,0,0,567,1,11,0
1,0,0,0,0,0,0,0,0,0,995,0,33,0
1,0,0,2,2,1,0,0,0,0,197,0,37,0
0,0,0,0,0,1,1,0,0,0,324,1,1,0
0,0,1,0,0,3,3,1,1,1,1512,7,93,1
1,0,0,2,5,0,1,0,1,0,1088,7,53,1
1,0,0,0,1,0,0,0,0,0,594,1,23,0
1,0,0,0,1,0,0,0,0,0,367,1,14,0
0,0,0,0,1,0,1,0,0,0,438,0,1,0
2,2,2,2,3,1,4,0,0,0,421,8,61,1
3,0,0,1,2,1,2,1,0,0,1138,3,60,1
3,1,0,0,3,3,4,1,0,1,1015,5,70,1
1,0,0,0,0,0,1,0,0,0,522,0,15,0
4,0,0,2,4,5,2,0,2,2,1034,5,71,1
0,0,0,1,2,4,1,1,0,0,1026,1,46,0
0,0,0,0,0,1,1,0,0,0,398,1,12,0
0,0,0,1,1,6,5,1,0,1,1351,3,89,1
0,0,0,0,1,0,1,0,0,0,295,1,24,0
1,0,0,0,0,0,1,0,0,0,568,0,13,0
0,0,2,1,6,4,3,0,2,0,1284,2,63,1
6,0,0,1,5,4,4,1,2,1,957,3,93,1
1,0,0,1,2,1,0,0,0,0,241,6,35,0
5,2,2,1,6,5,4,1,2,2,1233,3,77,1
0,0,0,0,1,1,0,0,0,0,827,0,25,0
4,2,2,1,5,0,2,1,2,0,1268,6,64,1
5,2,1,1,6,0,4,0,0,1,397,0,86,1
0,0,1,0,2,5,2,0,0,2,1706,4,85,1
0,0,0,0,1,1,0,0,0,0,730,0,26,0
5,2,1,0,4,6,5,1,2,2,196,6,95,1
3,0,2,1,4,0,0,1,0,0,515,7,49,0
1,0,0,0,0,0,1,0,0,0,559,0,28,0
0,0,0,2,4,0,3,0,1,1,1239,4,87,1
0,0,0,0,1,0,1,0,0,0,577,0,16,0
0,0,0,0,1,0,1,0,0,0,351,1,5,0
1,0,0,0,0,0,0,0,0,0,617,0,9,0
3,0,1,0,1,5,2,1,1,0,701,3,53,1
4,2,1,2,6,6,5,0,0,2,808,7,96,1
2,0,0,0,4,0,0,0,0,0,798,5,30,0
0,0,1,1,4,5,1,0,0,0,1158,5,48,0
4,1,1,0,2,5,1,1,2,0,296,2,65,1
4,2,0,2,0,1,5,0,2,1,1811,1,98,1
1,0,0,0,0,0,0,0,0,0,570,1,26,0
0,0,0,0,0,0,0,0,0,0,506,1,4,0
